Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
AFCS601030,Ammodytes hexapterus,Pacific Sand Lance,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCQK03030,Amphistichus rhodoterus,Redtail Surfperch,,SNR,Not Reviewed,GNR,,,,,,
AFCSD02010,Anarrhichthys ocellatus,Wolf-eel,,SNR,Not Reviewed,G5 (2017),NAR,,,,,
AFC4F05010,Anoplagonus inermis,Smooth Alligatorfish,,SNR,Not Reviewed,GNR,,,,,,
AFCSC05010,Anoplarchus insignis,Slender Cockscomb,,SNR,Not Reviewed,GNR,,,,,,
AFCSC05020,Anoplarchus purpurescens,High Cockscomb,,SNR,Not Reviewed,GNR,,,,,,
AFCZD02010,Anoplogaster cornuta,Longhorn Fangtooth,,SNR,Not Reviewed,G5 (2017),,,,,,
AFC4C01010,Anoplopoma fimbria,Sablefish,,SNR,Not Reviewed,G5 (2017),,,,,,
AFC8F01020,Anotopterus nikparini,North Pacific Daggertooth,,SNR,Not Reviewed,GNR,,,,,,
AFCMH01020,Antimora microlepis,Pacific Flatnose,,SNR,Not Reviewed,GNR,,,,,,
AFCS211010,Aphanopus carbo,Black Scabbardfish,,SNR,Not Reviewed,GNR,,,,,,
AFCQR03020,Apodichthys flavidus,Penpoint Gunnel,,SNR,Not Reviewed,GNR,,,,,,
AFCQR03010,Apodichthys fucorum,Rockweed Gunnel,,SNR,Not Reviewed,GNR,,,,,,
AFDDF01010,Apristurus brunneus,Brown Cat Shark,,SNR,Not Reviewed,GNR,DD,,,,,
AFC4G08010,Aptocyclus ventricosus,Smooth Lumpsucker,,SNR,Not Reviewed,GNR,,,,,,
AFC8D02010,Arctozenus risso,White Barracudina,,SNR,Not Reviewed,G5 (2017),,,,,,
AFC7C01020,Argyropelecus sladeni,Lowcrest Hatchetfish,,SNR,Not Reviewed,G5 (2009),,,,,,
AFC7B04010,Aristostomias scintillans,Shining Loosejaw,,SNR,Not Reviewed,GNR,,,,,,
AFC4E23020,Artedius fenestralis,Padded Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC4E23030,Artedius harringtoni,Scalyhead Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC4E23040,Artedius lateralis,Smoothhead Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC4E24010,Ascelichthys rhodorus,Rosylip Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC4E25010,Asemichthys taylori,Spinynose Sculpin,,SNR,Not Reviewed,GNR,DD,,,,,
AFCTB19020,Atheresthes stomias,Arrowtooth,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCND04010,Atherinops affinis,Topsmelt,,SNR,Not Reviewed,GNR,,,,,,
AFCQH10010,Atractoscion nobilis,White Seabass,,SNR,Not Reviewed,GNR,,,,,,
AFCPA05010,Aulorhynchus flavidus,Tube-snout,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCEJ02010,Avocettina infans,Closespine Snipe Eel,,SNR,Not Reviewed,GNR,,,,,,
AFC3B03020,Balistes polylepis,Finescale Triggerfish,,SNR,Not Reviewed,GNR,,,,,,
AFC9B02010,Barbourisia rufa,Velvet Whalefish,,SNR,Not Reviewed,GNR,,,,,,
AFC7B05010,Bathophilus flemingi,Highfin Dragonfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4F06010,Bathyagonus alascanus,Gray Starsnout,,SNR,Not Reviewed,GNR,,,,,,
AFC4F06020,Bathyagonus infraspinatus,Spinycheek Starsnout,,SNR,Not Reviewed,GNR,,,,,,
AFC4F06030,Bathyagonus nigripinnis,Blackfin Poacher,,SNR,Not Reviewed,GNR,,,,,,
AFC4F06040,Bathyagonus pentacanthus,Bigeye Poacher,,SNR,Not Reviewed,GNR,,,,,,
AFCHF02020,Bathylagus pacificus,Slender Blacksmelt,,SNR,Not Reviewed,GNR,,,,,,
AFCHG02010,Bathylychnops exilis,Javelin Spookfish,,SNR,Not Reviewed,GNR,,,,,,
AFCRY01010,Bathymaster caeruleofasciatus,Alaskan Ronquil,,SNR,Not Reviewed,GNR,,,,,,
AFCRY01020,Bathymaster signatus,Searcher,,SNR,Not Reviewed,GNR,,,,,,
AFDFD02080,Bathyraja abyssicola,Abyssal Skate,,SNR,Not Reviewed,GNR,,,,,,
AFDFD02010,Bathyraja aleutica,Aleutian Skate,,SNR,Not Reviewed,GNR,,,,,,
AFDFD02030,Bathyraja interrupta,Sandpaper Skate,,SNR,Not Reviewed,G5 (2017),NAR,,,,,
AFDFD02140,Bathyraja minispinosa,Whitebrow Skate,,SNR,Not Reviewed,G5 (2008),,,,,,
AFDFD02040,Bathyraja parmifera,Alaska Skate,,SNR,Not Reviewed,GNR,,,,,,
AFDFD02060,Bathyraja trachura,Roughtail Skate,,SNR,Not Reviewed,GNR,,,,,,
AFC8G01010,Benthalbella dentata,Northern Pearleye,,SNR,Not Reviewed,GNR,,,,,,
AFC8G01020,Benthalbella linguidens,Longfin Pearleye,,SNR,Not Reviewed,GNR,,,,,,
AFCS202020,Benthodesmus pacificus,Frostfish,,SNR,Not Reviewed,GNR,,,,,,
AFCS202040,Benthodesmus tenuis,Javelinfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4E26010,Blepsias bilobus,Crested Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC4E26020,Blepsias cirrhosus,Silverspotted Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC4F07010,Bothragonus swanii,Rockhead,,SNR,Not Reviewed,GNR,,,,,,
AFCS802020,Bothrocara brunneum,Twoline Eelpout,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCS802030,Bothrocara molle,Soft Eelpout,,SNR,Not Reviewed,GNR,,,,,,
AFCMG02010,Bothrocara pusillum,Alaska Eelpout,,SNR,Not Reviewed,GNR,,,,,,
AFCQK04010,Brachyistius frenatus,Kelp Perch,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCRH01040,Brama japonica,Pacific Pomfret,,SNR,Not Reviewed,GNR,,,,,,
AFCME01010,Brosmophycis marginata,Red Brotula,,SNR,Not Reviewed,GNR,,,,,,
AFCSC06020,Bryozoichthys marjorius,Pearly Prickleback,,SNR,Not Reviewed,GNR,,,,,,
AFCJB04010,Carassius auratus,Goldfish,,SNA (2019),Exotic,G5 (1996),,,,,,
AFDDE01010,Carcharodon carcharias,White Shark,,SNR,Not Reviewed,G2 (2014),DD,,,,,
AFC4G09150,Careproctus cypselurus,Falcate Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4G09070,Careproctus gilberti,Longfin Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4G09020,Careproctus melanurus,Blacktail Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4G09120,Careproctus oregonensis,Smallfin Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4G09130,Careproctus ovigerum,Abyssal Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFCQ101010,Caristius macropus,Manefish,,SNR,Not Reviewed,GNR,,,,,,
AFCJC02310,Catostomus bondi,Cordilleran Sucker,BG; CWH; IDF; PP,S3? (2019),Blue,GNR,T,,,,Y,Y
AFCJC02030,Catostomus catostomus,Longnose Sucker,,S5 (2019),Yellow,G5 (2015),,,,,,
AFCJC02050,Catostomus columbianus,Bridgelip Sucker,,S5 (2019),Yellow,G5 (2016),,,,,,
AFCJC02060,Catostomus commersonii,White Sucker,,S5 (2019),Yellow,G5 (2015),,,,,,
AFCJC02280,Catostomus macrocheilus,Largescale Sucker,,S5 (2019),Yellow,G5 (2016),,,,,,
AFCJC02260,Catostomus sp. 4,Salish Sucker,CWH,S2 (2019),Red,G1 (2011),E,1-T (2005),,,Y,
AFCRE01050,Caulolatilus princeps,Ocean Whitefish,,SNR,Not Reviewed,GNR,,,,,,
AFCYE02010,Ceratias holboelli,Deepsea Angler,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCVH01010,Ceratoscopelus townsendi,Dogtooth Lanternfish,,SNR,Not Reviewed,GNR,,,,,,
AFDDD01010,Cetorhinus maximus,Basking Shark,,SNR,Not Reviewed,G2G3 (2014),E,1-E (2010),,,,
AFCYH01010,Chaenophryne melanorhabdus,Smooth Dreamer,,SNR,Not Reviewed,GNR,,,,,,
AFC7B01010,Chauliodus macouni,Pacific Viperfish,,SNR,Not Reviewed,G5 (2017),,,,,,
AFC4F09030,Chesnonia verrucosa,Warty Poacher,,SNR,Not Reviewed,GNR,,,,,,
AFCSC08020,Chirolophis decoratus,Decorated Warbonnet,,SNR,Not Reviewed,GNR,,,,,,
AFCSC08030,Chirolophis nugator,Mosshead Warbonnet,,SNR,Not Reviewed,GNR,,,,,,
AFCSC08040,Chirolophis tarsodes,Matcheek Warbonnet,,SNR,Not Reviewed,GNR,,,,,,
AFC4E27010,Chitonotus pugetensis,Roughback Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFCJB31020,Chrosomus eos,Northern Redbelly Dace,,S4 (2019),Yellow,G5 (2015),,,,,,
AFCJB31X10,Chrosomus eos x Chrosomus neogaeus,Northern Redbelly Dace X Finescale Dace,BWBS,S2 (2019),Red,GNA (2002),,,,,,
AFCJB31040,Chrosomus neogaeus,Finescale Dace,,S4S5 (2019),Yellow,G5 (2016),,,,,,
AFCTA01080,Citharichthys sordidus,Pacific Sanddab,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCTA01090,Citharichthys stigmaeus,Speckled Sanddab,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCQN03010,Clevelandia ios,Arrow Goby,,SNR,Not Reviewed,G5 (1996),,,,,,
AFCTB23010,Clidoderma asperrimum,Roughscale Sole,,SNR,Not Reviewed,GNR,,,,,,
AFC4E01010,Clinocottus acuticeps,Sharpnose Sculpin,,SNR,Not Reviewed,G5 (1997),,,,,,
AFC4E01030,Clinocottus embryum,Calico Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC4E01040,Clinocottus globiceps,Mosshead Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFCFA07030,Clupea pallasii,Pacific Herring,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCNF01010,Cololabis saira,Pacific Saury,,SNR,Not Reviewed,GNR,,,,,,
AFCHA01020,Coregonus artedi,Cisco,BWBS,S2 (2019),Red,G5 (2015),,,,,Y,
AFCHA01030,Coregonus autumnalis,Arctic Cisco,BWBS,S1S2 (2019),Red,G5 (2011),,,,,Y,
AFCHA01040,Coregonus clupeaformis,Lake Whitefish,,S5 (2019),Yellow,G5 (2015),,,,,,
AFCHA01090,Coregonus nasus,Broad Whitefish,BWBS,S2 (2019),Red,G5 (2016),,,,,Y,
AFCHA01130,Coregonus sardinella,Least Cisco,BWBS,S3 (2019),Blue,G5 (2017),,,,,Y,
AFCMC06010,Coryphaenoides acrolepis,Roughscale Grenadier,,SNR,Not Reviewed,GNR,,,,,,
AFCMC06020,Coryphaenoides armatus,Russet Grenadier,,SNR,Not Reviewed,GNR,,,,,,
AFCMC06030,Coryphaenoides cinereus,Popeye,,SNR,Not Reviewed,GNR,,,,,,
AFCMC06040,Coryphaenoides filifer,Filamented Rattail,,SNR,Not Reviewed,GNR,,,,,,
AFCMC06050,Coryphaenoides leptolepis,Ghostly Grenadier,,SNR,Not Reviewed,GNR,,,,,,
AFCMC06080,Coryphaenoides yaquinae,Rough Abyssal Grendier,,SNR,Not Reviewed,GNR,,,,,,
AFC4E02010,Cottus aleuticus,Coastrange Sculpin,,S5 (2019),Yellow,G5 (2015),,,,,,
AFC4E02270,Cottus aleuticus pop. 1,"Coastrange Sculpin, Cultus Population",CWH,S1S2 (2019),Red,G5T1T2Q (2010),E,1-T (2003),,,Y,
AFC4E02020,Cottus asper,Prickly Sculpin,,S5 (2019),Yellow,G5 (2015),,,,,,
AFC4E02080,Cottus cognatus,Slimy Sculpin,,S5 (2019),Yellow,G5 (2015),,,,,,
AFC4E02090,Cottus confusus,Shorthead Sculpin,ICH; IDF,S3 (2019),Blue,G5 (2011),SC,1-SC,,,Y,
AFC4E02053,Cottus hubbsi,Columbia Sculpin,BG; ICH; IDF; PP,S3 (2019),Blue,G4Q (2011),SC,1-SC (2003),,,Y,Y
AFC4E02220,Cottus rhotheus,Torrent Sculpin,,S4S5 (2019),Yellow,G5 (2016),,,,,,
AFC4E02230,Cottus ricei,Spoonhead Sculpin,,S4 (2019),Yellow,G5 (2015),NAR,,,,,
AFC4E02380,Cottus sp. 9,Rocky Mountain Sculpin,,S2 (2019),Red,GNRT3T4Q (2021),SC,1-SC (2017),,,Y,
AFCJB06010,Couesius plumbeus,Lake Chub,BG; BWBS; CDF; CWH; ESSF; ICH; IDF; MH; MS; PP; SBPS; SBS; SWB,S5 (2019),Yellow,G5 (2015),DD,,,,,
AFCJB06012,Couesius plumbeus pop. 2,Lake Chub - Liard Hot Springs Populations,BWBS,S1S2 (2019),Red,G5TNRQ,T,,,,Y,
AFCJB06013,Couesius plumbeus pop. 3,Lake Chub - Atlin Warm Springs Populations,BWBS; SWB,S1 (2019),Red,G5TNRQ,T,,,,Y,
AFCSF01020,Cryptacanthodes aleutensis,Dwarf Wrymouth,,SNR,Not Reviewed,GNR,,,,,,
AFCSF01030,Cryptacanthodes giganteus,Giant Wrymouth,,SNR,Not Reviewed,GNR,,,,,,
AFCPA02010,Culaea inconstans,Brook Stickleback,,S5 (2018),Yellow,G5 (2015),,,,,,
AFC7A01020,Cyclothone atraria,Yellow Bristlemouth,,SNR,Not Reviewed,GNR,,,,,,
AFC7A01030,Cyclothone pallida,Tan Bristlemouth,,SNR,Not Reviewed,GNR,,,,,,
AFC7A01040,Cyclothone pseudopallida,Slender Bristlemouth,,SNR,Not Reviewed,GNR,,,,,,
AFC7A01050,Cyclothone signata,Showy Bristlemouth,,SNR,Not Reviewed,GNR,,,,,,
AFCQK01010,Cymatogaster aggregata,Shiner Perch,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCJB08010,Cyprinus carpio,Common Carp,,SNA (2019),Exotic,G5 (1996),,,,,,
AFC7D03010,Danaphos oculatus,Bottlelight,,SNR,Not Reviewed,GNR,,,,,,
AFC4E28010,Dasycottus setiger,Spinyhead Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFCS812010,Derepodichthys alepidotus,Cuskpout,,SNR,Not Reviewed,GNR,,,,,,
AFCVH02010,Diaphus theta,California Headlightfish,,SNR,Not Reviewed,G5 (2017),,,,,,
AFC4G10070,Elassodiscus caudatus,Humpback Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFCTB03010,Embassichthys bathybius,Deepsea Sole,,SNR,Not Reviewed,GNR,,,,,,
AFCQK05020,Embiotoca lateralis,Striped Seaperch,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCFB04020,Engraulis mordax,Northern Anchovy,,SNR,Not Reviewed,GNR,,,,,,
AFC4E29010,Enophrys bison,Buffalo Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC4E29030,Enophrys lucasi,Leister Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFBAA02120,Entosphenus macrostomus,Cowichan Lake Lamprey,CWH,S2 (2019),Red,G2 (2019),T,1-T (2003),,,Y,
AFBAA02100,Entosphenus tridentatus,Pacific Lamprey,,S5 (2019),Yellow,G4 (2012),,,,,,
AFCTB04010,Eopsetta jordani,Petrale Sole,,SNR,Not Reviewed,G5 (2017),,,,,,
AFABA01010,Eptatretus deani,Black Hagfish,,SNR,Not Reviewed,GNR,,,,,,
AFABA01020,Eptatretus stoutii,Pacific Hagfish,,SNR,Not Reviewed,G5 (2017),,,,,,
AFC4C02010,Erilepis zonifer,Skilfish,,SNR,Not Reviewed,GNR,,,,,,
AFCHD01020,Esox lucius,Northern Pike,,S5 (2004),Yellow,G5 (2015),,,,,,
AFC4G13030,Eumicrotremus orbis,Pacific Spiny Lumpsucker,,SNR,Not Reviewed,GNR,,,,,,
AFCMA08010,Gadus macrocephalus,Pacific Cod,,SNR,Not Reviewed,G5 (2017),,,,,,
AFDDG02030,Galeorhinus galeus,Soupfin Shark,,SNR,Not Reviewed,GNR,SC,1-SC (2009),,,,
AFCPA03010,Gasterosteus aculeatus,Threespine Stickleback,,S5 (2018),Yellow,G5 (2017),,,,,,
AFCPA03014,Gasterosteus aculeatus pop. 1,Charlotte Unarmoured Threespine Stickleback,CWH,S1S2 (2018),Red,G5T1T2Q (2019),E,1-SC (2019),,,Y,
AFCPA03016,Gasterosteus aculeatus pop. 2,Little Quarry Lake Benthic Threespine Stickleback,CWHxm,S1 (2019),Red,G5TNRQ,T,,,,Y,
AFCPA03017,Gasterosteus aculeatus pop. 3,Little Quarry Limnetic Threespine Stickleback,CWHxm,S1 (2019),Red,G5TNRQ,T,,,,Y,
AFCPA03X10,Gasterosteus sp. 1,Giant Threespine Stickleback,CWH,S1S2 (2018),Red,G1G2 (2019),SC,1-SC (2019),,,Y,
AFCPA03140,Gasterosteus sp. 12,Hadley Lake Limnetic Stickleback,CDF,SX (2018),Extinct,GX (2018),XX,,,,Y,
AFCPA03150,Gasterosteus sp. 13,Hadley Lake Benthic Stickleback,CDF,SX (2018),Extinct,GX (2018),XX,,,,Y,
AFCPA03180,Gasterosteus sp. 16,Vananda Creek Limnetic Stickleback,CDF,S1 (2018),Red,G1 (2018),E,1-E (2003),Y,,Y,
AFCPA03190,Gasterosteus sp. 17,Vananda Creek Benthic Stickleback,CDF,S1 (2018),Red,G1 (2018),E,1-E (2003),Y,,Y,
AFCPA03200,Gasterosteus sp. 18,"Misty Lake ""Lake"" Stickleback",CWH,S1 (2018),Red,G1 (2018),E,1-E (2010),,,Y,
AFCPA03210,Gasterosteus sp. 19,"Misty Lake ""Stream"" Stickleback",CWH,S1 (2018),Red,G1 (2018),E,1-E (2010),,,Y,
AFCPA03040,Gasterosteus sp. 2,Enos Lake Limnetic Stickleback,CDF,SX (2018),Red,GX (2019),XX,1-E (2005),,,Y,
AFCPA03050,Gasterosteus sp. 3,Enos Lake Benthic Stickleback,CDF,SX (2018),Red,GX (2019),XX,1-E (2005),,,Y,
AFCPA03060,Gasterosteus sp. 4,Paxton Lake Limnetic Stickleback,CDF,S1 (2018),Red,G1 (2018),E,1-E (2003),,,Y,
AFCPA03070,Gasterosteus sp. 5,Paxton Lake Benthic Stickleback,CDF,S1 (2018),Red,G1 (2016),E,1-E (2003),,,Y,
AFCQH13010,Genyonemus lineatus,White Croaker,,SNR,Not Reviewed,GNR,,,,,,
AFCQQ08030,Gibbonsia metzi,Striped Kelpfish,,SNR,Not Reviewed,GNR,,,,,,
AFCQQ08040,Gibbonsia montereyensis,Crevice Kelpfish,,SNR,Not Reviewed,GNR,,,,,,
AFCTB21010,Glyptocephalus zachirus,Rex Sole,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCXA02020,Gobiesox maeandricus,Northern Clingfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4E19020,Gymnocanthus galeatus,Armorhead Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC9B01010,Gyrinomimus grahami,Flabby Whalefish,,SNR,Not Reviewed,GNR,,,,,,
AFCMH04010,Halargyreus johnsonii,Slender Codling,,SNR,Not Reviewed,GNR,,,,,,
AFC4E31010,Hemilepidotus hemilepidotus,Red Irish Lord,,SNR,Not Reviewed,GNR,,,,,,
AFC4E31040,Hemilepidotus spinosus,Brown Irish Lord,,SNR,Not Reviewed,GNR,,,,,,
AFC4E20020,Hemitripterus bolini,Bigmouth Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFCQQ10010,Heterostichus rostratus,Giant Kelpfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4D01010,Hexagrammos decagrammus,Kelp Greenling,,SNR,Not Reviewed,G5 (2017),,,,,,
AFC4D01020,Hexagrammos lagocephalus,Rock Greenling,,SNR,Not Reviewed,GNR,,,,,,
AFC4D01030,Hexagrammos octogrammus,Masked Greenling,,SNR,Not Reviewed,GNR,,,,,,
AFC4D01040,Hexagrammos stelleri,Whitespotted Greenling,,SNR,Not Reviewed,G5 (2017),,,,,,
AFDBB01010,Hexanchus griseus,Bluntnose Sixgill Shark,,SNR,Not Reviewed,GNR,SC,1-SC (2009),,,,
AFCGA01010,Hiodon alosoides,Goldeye,BWBS,S3 (2019),Blue,G5 (2017),,,,,,
AFCTB06010,Hippoglossoides elassodon,Flathead Sole,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCTB07020,Hippoglossus stenolepis,Pacific Halibut,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCHK01020,Holtbyrnia latifrons,Teardrop Tubeshoulder,,SNR,Not Reviewed,GNR,,,,,,
AFCJB16020,Hybognathus hankinsoni,Brassy Minnow,,S4 (2011),No Status,G5 (2015),,,,,,
AFCJB16022,Hybognathus hankinsoni - Pacific group,Brassy Minnow - Pacific Group,CDFmm; CWHdm; CWHxm,S2S3 (2019),Blue,G5TNRQ,SC,,,,,
AFCJB16021,Hybognathus hankinsoni - western Arctic group,Brassy Minnow - Western Arctic Group,,S3S4 (2012),Blue,G5TNRQ,SC,,,,,
AFDAA01010,Hydrolagus colliei,Spotted Ratfish,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCQK06020,Hyperprosopon argenteum,Walleye Surfperch,,SNR,Not Reviewed,GNR,,,,,,
AFCQK06030,Hyperprosopon ellipticum,Silver Surfperch,,SNR,Not Reviewed,GNR,,,,,,
AFCHB01030,Hypomesus pretiosus,Surf Smelt,,SNR,Not Reviewed,G5 (1996),,,,,,
AFC4F01010,Hypsagonus mozinoi,Kelp Poacher,,SNR,Not Reviewed,GNR,,,,,,
AFC4F08010,Hypsagonus quadricornis,Fourhorn Poacher,,SNR,Not Reviewed,GNR,,,,,,
AFC4E32010,Icelinus borealis,Northern Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC4E32020,Icelinus burchami,Dusky Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC4E32040,Icelinus filamentosus,Threadfin Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC4E32050,Icelinus fimbriatus,Fringed Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC4E32080,Icelinus tenuis,Spotfin Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC4E21050,Icelus spiniger,Thorny Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC7A04010,Ichthyococcus elongatus,Slim Lightfish,,SNR,Not Reviewed,GNR,,,,,,
AFCS406010,Icichthys lockingtoni,Medusafish,,SNR,Not Reviewed,GNR,,,,,,
AFCSQ01010,Icosteus aenigmaticus,Ragfish,,SNR,Not Reviewed,GNR,,,,,,
AFC7B08010,Idiacanthus antrostomus,Pacific Dragonfish,,SNR,Not Reviewed,GNR,,,,,,
AFCTB16090,Isopsetta isolepis,Butter Sole,,SNR,Not Reviewed,G5 (2017),,,,,,
AFDDE03010,Isurus oxyrinchus,Shortfin Mako,,SNR,Not Reviewed,GNR,,,,,,
AFC4E33010,Jordania zonope,Longfin Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFCS309010,Katsuwonus pelamis,Skipjack Tuna,,SNR,Not Reviewed,GNR,,,,,,
AFDDE04010,Lamna ditropis,Salmon Shark,,SNR,Not Reviewed,GNR,,,,,,
AFCVH04030,Lampanyctus jordani,Brokenline Lanternfish,,SNR,Not Reviewed,GNR,,,,,,
AFBAA02030,Lampetra ayresii,River Lamprey,,S5? (2019),Yellow,G5 (2017),,,,,,
AFBAA02180,Lampetra richardsoni,Western Brook Lamprey,,S4 (2019),Yellow,G4G5 (2012),,,,,,
AFBAA02092,Lampetra richardsoni pop. 1,Western Brook Lamprey (Morrison Creek Population),CWH,S1 (2019),Red,G4G5T1Q (2005),E,1-E (2003),,,Y,
AFC2A01010,Lampris guttatus,Opah,,SNR,Not Reviewed,GNR,,,,,,
AFCQN21010,Lepidogobius lepidus,Bay Goby,,SNR,Not Reviewed,GNR,,,,,,
AFCTB16080,Lepidopsetta bilineata,Rock Sole,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCTB24010,Lepidopsetta polyxystra,Northern Rock Sole,,SNR,Not Reviewed,GNR,,,,,,
AFCQB11030,Lepomis gibbosus,Pumpkinseed,,SNA (2019),Exotic,G5 (2016),,,,,,
AFCQB11060,Lepomis macrochirus,Bluegill,,SNA (2019),Exotic,G5 (2015),,,,,,
AFC4F14010,Leptagonus frenatus,Sawback Poacher,,SNR,Not Reviewed,GNR,,,,,,
AFCSC12030,Leptoclinus maculatus,Daubed Shanny,,SNR,Not Reviewed,G5 (2017),,,,,,
AFC4E03010,Leptocottus armatus,Pacific Staghorn Sculpin,,SNR,Not Reviewed,G5 (2016),,,,,,
AFC8D03010,Lestidiops ringens,Slender Barracudina,,SNR,Not Reviewed,GNR,,,,,,
